GO.ID	term	gProfiler.p_value	clustProfiler.p_value	topGO.p_value	significant_count	included_count
GO:0006996	organelle organization	4.3126781145542925e-60	NA	0.48414	2	2
GO:0051246	regulation of protein metabolic process	1.1933249327453609e-57	NA	0.89568	2	2
GO:0044238	primary metabolic process	1.285029531359293e-56	NA	1	2	2
GO:0051254	positive regulation of RNA metabolic process	5.179384338988452e-56	NA	NA	1	1
GO:0006807	nitrogen compound metabolic process	1.3674988969476764e-55	NA	NA	1	1
GO:0009890	negative regulation of biosynthetic process	1.7826291119206724e-55	NA	NA	1	1
GO:0031327	negative regulation of cellular biosynthetic process	1.892480530066396e-55	NA	NA	1	1
GO:0030163	protein catabolic process	3.7898300411249644e-55	NA	0.34002	2	2
GO:0010558	negative regulation of macromolecule biosynthetic process	9.627957748707312e-55	NA	NA	1	1
GO:0036211	protein modification process	1.3464577022930952e-54	NA	0.36747	2	2
GO:0010557	positive regulation of macromolecule biosynthetic process	1.765888726682211e-54	NA	NA	1	1
GO:0051172	negative regulation of nitrogen compound metabolic process	3.1740912758133256e-54	NA	NA	1	1
GO:0032774	RNA biosynthetic process	1.7794517852636606e-53	NA	1	2	2
GO:0031328	positive regulation of cellular biosynthetic process	2.279175129317826e-53	NA	NA	1	1
GO:0051641	cellular localization	6.524751241576789e-53	NA	1	2	2
GO:0009891	positive regulation of biosynthetic process	7.934506171491507e-53	NA	NA	1	1
GO:0006351	DNA-templated transcription	1.7364960076740223e-52	NA	0.05709	2	2
GO:0051603	proteolysis involved in protein catabolic process	3.870873586139413e-52	NA	NA	1	1
GO:0009894	regulation of catabolic process	2.533077623093376e-50	NA	1	2	2
GO:0006412	translation	2.538869657048176e-50	NA	0.0955	2	2
GO:2001141	regulation of RNA biosynthetic process	3.142725111290529e-50	NA	1	2	2
GO:0006355	regulation of DNA-templated transcription	7.999013875532422e-50	NA	NA	1	1
GO:1901575	organic substance catabolic process	1.1339400758870944e-49	NA	NA	1	1
GO:0006518	peptide metabolic process	5.110545068935461e-48	NA	0.508	2	2
GO:0043632	modification-dependent macromolecule catabolic process	1.4180862290891018e-47	1.2659313361589112e-4	NA	2	2
GO:0051649	establishment of localization in cell	2.907222892113111e-47	NA	0.99526	2	2
GO:0043043	peptide biosynthetic process	3.93880302409914e-47	NA	0.8729	2	2
GO:1902680	positive regulation of RNA biosynthetic process	9.701464139735443e-47	NA	NA	1	1
GO:0045893	positive regulation of DNA-templated transcription	1.6210620284857114e-46	NA	NA	1	1
GO:0019941	modification-dependent protein catabolic process	2.894932682432777e-46	1.794145739819406e-4	NA	2	2
GO:0007049	cell cycle	3.2444263846540776e-46	NA	1	2	2
GO:0033036	macromolecule localization	4.4561980099942534e-46	NA	1	2	2
GO:0070727	cellular macromolecule localization	4.292079976709276e-45	NA	1	2	2
GO:0006511	ubiquitin-dependent protein catabolic process	1.0938551433200818e-44	1.7010125666801543e-4	NA	2	2
GO:0008104	protein localization	1.8404809682799256e-44	NA	0.14261	2	2
GO:0043604	amide biosynthetic process	8.329732522698614e-44	NA	0.9438	2	2
GO:0044249	cellular biosynthetic process	3.9763372668287096e-42	NA	0.69581	2	2
GO:0015031	protein transport	4.496499657942237e-42	NA	2.4e-14	2	2
GO:0071824	protein-DNA complex organization	5.4291463718948066e-42	NA	1	2	2
GO:0043603	amide metabolic process	6.08241434520989e-42	NA	1	2	2
GO:1901565	organonitrogen compound catabolic process	1.905887874682864e-41	NA	NA	1	1
GO:1901576	organic substance biosynthetic process	2.449125683346238e-41	NA	NA	1	1
GO:0009058	biosynthetic process	2.5432523011248726e-41	NA	0.84628	2	2
GO:0006325	chromatin organization	4.0817881745566064e-41	NA	5.7e-10	2	2
GO:0032446	protein modification by small protein conjugation	1.0740420715305466e-40	NA	NA	1	1
GO:0043687	post-translational protein modification	3.4434179467522808e-40	NA	0.08362	2	2
GO:0048583	regulation of response to stimulus	9.05741858743609e-40	NA	1	2	2
GO:0070647	protein modification by small protein conjugation or removal	1.1763336518514028e-39	NA	NA	1	1
GO:0006950	response to stress	7.573657381721987e-39	NA	1	2	2
GO:1901566	organonitrogen compound biosynthetic process	1.337546888877137e-38	NA	NA	1	1
GO:0010498	proteasomal protein catabolic process	7.992555471308653e-38	1.4816359021075374e-4	0.01884	3	3
GO:0009059	macromolecule biosynthetic process	2.6102930588707095e-37	NA	1	2	2
GO:0006974	DNA damage response	1.1801766319232468e-36	NA	2.9e-12	2	2
GO:0010608	post-transcriptional regulation of gene expression	1.2744617200278144e-36	NA	NA	1	1
GO:0010629	negative regulation of gene expression	3.184631220840874e-36	NA	0.02734	2	2
GO:0002181	cytoplasmic translation	3.980614545297621e-36	2.144208298662453e-7	NA	3	2
GO:0035556	intracellular signal transduction	5.6870364741432726e-36	NA	0.11638	2	2
GO:0016567	protein ubiquitination	6.044406155453816e-36	NA	1.1e-8	2	2
GO:0006357	regulation of transcription by RNA polymerase II	1.0882383135324876e-35	NA	NA	1	1
GO:0006366	transcription by RNA polymerase II	1.3003375218895242e-35	NA	0.87794	2	2
GO:0009966	regulation of signal transduction	5.020535117825121e-34	NA	0.38372	2	2
GO:0071705	nitrogen compound transport	5.4934861418728816e-34	NA	1	2	2
GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	5.883651749623178e-33	2.684617722095571e-4	NA	2	2
GO:0023051	regulation of signaling	9.675882314868328e-33	NA	1	2	2
GO:0006259	DNA metabolic process	1.4426771978852254e-32	NA	0.12351	2	2
GO:0065009	regulation of molecular function	2.777485390264685e-32	NA	1	2	2
GO:0006886	intracellular protein transport	1.3058334953018708e-31	1.075784561100273e-5	2.8e-10	3	3
GO:0045184	establishment of protein localization	1.7829924088320078e-31	NA	0.66693	2	2
GO:0006338	chromatin remodeling	2.2337721539442807e-31	NA	1.9e-14	2	2
GO:0033043	regulation of organelle organization	2.2795514300061196e-31	NA	1	2	2
GO:0051248	negative regulation of protein metabolic process	2.370058702873311e-31	6.871414910818575e-4	NA	2	2
GO:0010646	regulation of cell communication	3.188646893855977e-31	NA	1	2	2
GO:0051128	regulation of cellular component organization	3.963340794855904e-31	NA	NA	1	1
GO:0044248	cellular catabolic process	5.8950861091857484e-31	NA	0.6093	2	2
GO:0031329	regulation of cellular catabolic process	1.3989466334027752e-30	NA	1	2	2
GO:0045934	negative regulation of nucleobase-containing compound metabolic process	1.920758479766489e-30	NA	NA	1	1
GO:0051726	regulation of cell cycle	3.759094816549331e-30	NA	1.6e-9	2	2
GO:0006914	autophagy	6.335577790813336e-30	NA	0.00342	2	2
GO:0061919	process utilizing autophagic mechanism	6.335577790813336e-30	NA	1	2	2
GO:0080135	regulation of cellular response to stress	9.792696341543399e-30	1.7413633556364564e-4	NA	2	2
GO:0051179	localization	1.7073560227895831e-29	NA	1	2	2
GO:0006508	proteolysis	1.8474977848090395e-29	NA	0.99515	2	2
GO:0010467	gene expression	2.181830281679229e-29	NA	0.10003	2	2
GO:0008219	cell death	3.2539939470706126e-29	NA	0.47053	2	2
GO:0012501	programmed cell death	3.906402987551538e-29	NA	0.953	2	2
GO:0016192	vesicle-mediated transport	5.929021316547047e-29	NA	0.31386	2	2
GO:0051253	negative regulation of RNA metabolic process	1.0323548454271364e-28	NA	NA	1	1
GO:0006915	apoptotic process	1.355307684356738e-28	NA	7.4e-4	2	2
GO:0045944	positive regulation of transcription by RNA polymerase II	1.7593757288456883e-28	NA	NA	1	1
GO:0050790	regulation of catalytic activity	2.689014413099635e-28	NA	0.13492	2	2
GO:0000278	mitotic cell cycle	2.9950573424509203e-28	NA	0.14069	2	2
GO:0022402	cell cycle process	7.139339127044993e-28	NA	1	2	2
GO:0009896	positive regulation of catabolic process	8.479026574992918e-28	NA	1	2	2
GO:1902531	regulation of intracellular signal transduction	1.4049679712285282e-27	NA	NA	1	1
GO:0071702	organic substance transport	9.624966063629995e-27	NA	NA	1	1
GO:0010033	response to organic substance	1.0640802485055848e-26	NA	NA	1	1
GO:0080134	regulation of response to stress	6.164831633181777e-26	NA	1	2	2
GO:0051247	positive regulation of protein metabolic process	7.66066003924866e-26	NA	NA	1	1
GO:0016236	macroautophagy	1.7169433395737523e-25	NA	0.00222	2	2
GO:0031647	regulation of protein stability	3.185703844037799e-25	5.8329495296579226e-5	2.6e-7	3	3
GO:0034248	regulation of amide metabolic process	6.342445012961036e-25	NA	1	2	2
GO:0048193	Golgi vesicle transport	1.3753044599779784e-24	NA	0.40328	2	2
GO:0006810	transport	4.277393166797195e-24	NA	1	2	2
GO:0006796	phosphate-containing compound metabolic process	5.37513233472732e-24	NA	NA	1	1
GO:0006793	phosphorus metabolic process	9.142723989167255e-24	NA	1	2	2
GO:0030097	hemopoiesis	1.6058364723330195e-23	NA	0.00524	2	2
GO:1903047	mitotic cell cycle process	2.1346954225938607e-23	9.54706801941085e-4	1	3	3
GO:0022411	cellular component disassembly	2.1647757357199334e-23	NA	1	2	2
GO:0034641	cellular nitrogen compound metabolic process	2.582864714064073e-23	NA	NA	1	1
GO:1902679	negative regulation of RNA biosynthetic process	3.187199974661284e-23	NA	NA	1	1
GO:0034660	ncRNA metabolic process	4.383038616597525e-23	NA	NA	1	1
GO:0045892	negative regulation of DNA-templated transcription	5.878580314695187e-23	NA	NA	1	1
GO:0016032	viral process	1.4397918064597328e-22	2.045697501861646e-5	0.35159	3	3
GO:0006417	regulation of translation	1.4893838835092077e-22	NA	9.7e-4	2	2
GO:0031399	regulation of protein modification process	2.5102163941090417e-22	NA	NA	1	1
GO:0033365	protein localization to organelle	3.6624965206941635e-22	NA	0.29752	2	2
GO:1901873	regulation of post-translational protein modification	8.60035888696715e-22	NA	NA	1	1
GO:0071310	cellular response to organic substance	1.3100061633606674e-21	NA	NA	1	1
GO:0006913	nucleocytoplasmic transport	1.6635673170427624e-21	2.2786241884384292e-5	0.01173	3	3
GO:0051169	nuclear transport	1.6635673170427624e-21	2.2786241884384292e-5	1	3	3
GO:0070887	cellular response to chemical stimulus	2.095107929250863e-21	NA	1	2	2
GO:0043067	regulation of programmed cell death	4.359395471386167e-21	NA	0.01923	2	2
GO:0046649	lymphocyte activation	5.4909492554191734e-21	3.283981738692388e-8	1	3	3
GO:1903320	regulation of protein modification by small protein conjugation or removal	5.568946423229238e-21	NA	NA	1	1
GO:0002682	regulation of immune system process	2.997540074331594e-20	NA	0.51669	2	2
GO:0031400	negative regulation of protein modification process	6.582788142179813e-20	NA	NA	1	1
GO:0051234	establishment of localization	6.592141732521755e-20	NA	1	2	2
GO:0048584	positive regulation of response to stimulus	9.111373228131932e-20	NA	NA	1	1
GO:0051052	regulation of DNA metabolic process	9.169855922679896e-20	NA	1	2	2
GO:0042981	regulation of apoptotic process	1.1099852348279642e-19	NA	0.0029	2	2
GO:0034655	nucleobase-containing compound catabolic process	2.9450233036876236e-19	NA	NA	1	1
GO:1903008	organelle disassembly	3.9995773120108887e-19	NA	0.76196	2	2
GO:0006401	RNA catabolic process	5.272278359687159e-19	NA	0.0741	2	2
GO:0034976	response to endoplasmic reticulum stress	6.018518762231055e-19	NA	0.00706	2	2
GO:0051276	chromosome organization	6.866534867079964e-19	NA	0.72197	2	2
GO:0000209	protein polyubiquitination	7.746415495489599e-19	NA	2.1e-8	2	2
GO:0141124	intracellular signaling cassette	1.0227060019986283e-18	NA	1	2	2
GO:1903311	regulation of mRNA metabolic process	1.6554494748720827e-18	NA	1	2	2
GO:0016197	endosomal transport	1.6688469034413366e-18	NA	0.00534	2	2
GO:0044770	cell cycle phase transition	1.778921801911346e-18	NA	0.05329	2	2
GO:0061024	membrane organization	2.0357527454492147e-18	NA	0.00327	2	2
GO:0042176	regulation of protein catabolic process	4.21768820943722e-18	NA	0.04043	2	2
GO:0044087	regulation of cellular component biogenesis	4.417094464222834e-18	NA	NA	1	1
GO:0030162	regulation of proteolysis	5.1834631195781265e-18	NA	0.01746	2	2
GO:0006281	DNA repair	6.906996233641296e-18	NA	3e-6	2	2
GO:0034504	protein localization to nucleus	8.116027577864997e-18	6.609148234677066e-6	0.00401	3	3
GO:0009968	negative regulation of signal transduction	2.805581900035201e-17	NA	NA	1	1
GO:0043484	regulation of RNA splicing	4.046058442410016e-17	NA	2.2e-7	2	2
GO:0009895	negative regulation of catabolic process	4.37062233574926e-17	9.643029819404757e-4	0.37742	3	3
GO:0044093	positive regulation of molecular function	5.4643053968598685e-17	NA	NA	1	1
GO:0023057	negative regulation of signaling	5.676028054260604e-17	NA	1	2	2
GO:0060341	regulation of cellular localization	6.55136584588862e-17	NA	1	2	2
GO:0010506	regulation of autophagy	9.91950607166802e-17	NA	0.42246	2	2
GO:0031396	regulation of protein ubiquitination	1.3102684534910335e-16	NA	0.02195	2	2
GO:0010648	negative regulation of cell communication	1.5919363320010544e-16	NA	NA	1	1
GO:0048585	negative regulation of response to stimulus	2.2190064391459095e-16	NA	NA	1	1
GO:0031331	positive regulation of cellular catabolic process	2.584152461217675e-16	NA	NA	1	1
GO:0032880	regulation of protein localization	2.5962257637821563e-16	1.4313484387841222e-4	0.64183	3	3
GO:0042254	ribosome biogenesis	3.033181888038363e-16	NA	0.01229	2	2
GO:0000122	negative regulation of transcription by RNA polymerase II	4.300308097790031e-16	3.476075799639688e-5	NA	2	2
GO:0042110	T cell activation	6.34818240868391e-16	3.6174339026965336e-8	5.1e-4	3	3
GO:1902532	negative regulation of intracellular signal transduction	6.387470348743087e-16	NA	NA	1	1
GO:0006402	mRNA catabolic process	9.346242400687029e-16	NA	0.04061	2	2
GO:0044772	mitotic cell cycle phase transition	9.720393780871139e-16	NA	0.44271	2	2
GO:0050776	regulation of immune response	1.263675938079324e-15	7.487396775357783e-7	0.24222	3	3
GO:0044270	cellular nitrogen compound catabolic process	1.9034184596475554e-15	NA	NA	1	1
GO:0030217	T cell differentiation	2.938124813084523e-15	6.798842711268067e-5	7e-5	3	3
GO:0010256	endomembrane system organization	3.2763902088175803e-15	NA	1	2	2
GO:0007346	regulation of mitotic cell cycle	3.482833136972582e-15	NA	1.1e-6	2	2
GO:0045321	leukocyte activation	4.197769449994215e-15	NA	1	2	2
GO:0046700	heterocycle catabolic process	5.6907358907085105e-15	NA	NA	1	1
GO:0010564	regulation of cell cycle process	6.8190872831050826e-15	NA	0.35667	2	2
GO:0016310	phosphorylation	7.780734012204374e-15	NA	0.02022	2	2
GO:0002764	immune response-regulating signaling pathway	8.931868320614766e-15	3.696618930947867e-4	NA	2	2
GO:0002684	positive regulation of immune system process	1.3407389973512002e-14	NA	NA	1	1
GO:0032200	telomere organization	2.0065032985973004e-14	NA	6.6e-6	2	2
GO:0009987	cellular process	2.132955532367735e-14	NA	1	2	2
GO:0002757	immune response-activating signaling pathway	3.4080433713882556e-14	8.156577895419341e-5	NA	2	2
GO:0001775	cell activation	4.1298638819256136e-14	NA	1	2	2
GO:0051716	cellular response to stimulus	4.8292993693321436e-14	NA	1	2	2
GO:0051336	regulation of hydrolase activity	5.4023811382655405e-14	NA	1	2	2
GO:0030098	lymphocyte differentiation	6.456024805617688e-14	9.10078143379866e-5	0.61211	3	3
GO:0006403	RNA localization	7.781630505198239e-14	NA	0.14336	2	2
GO:1903050	regulation of proteolysis involved in protein catabolic process	9.114887661235153e-14	NA	NA	1	1
GO:0010563	negative regulation of phosphorus metabolic process	1.2397324946078326e-13	NA	NA	1	1
GO:0034470	ncRNA processing	1.2845181542585232e-13	NA	NA	1	1
GO:0097190	apoptotic signaling pathway	1.3736751504443066e-13	1.4816359021075374e-4	0.31649	3	3
GO:0019439	aromatic compound catabolic process	1.4983206871050158e-13	NA	NA	1	1
GO:0050793	regulation of developmental process	1.8373805344761232e-13	NA	1	2	2
GO:0006413	translational initiation	1.9194861785384378e-13	NA	8.5e-4	2	2
GO:0045936	negative regulation of phosphate metabolic process	2.0004857622802018e-13	NA	NA	1	1
GO:0016072	rRNA metabolic process	2.1038446853858085e-13	9.315880536021096e-4	0.37834	3	3
GO:1901987	regulation of cell cycle phase transition	2.286426082996774e-13	NA	NA	1	1
GO:0002521	leukocyte differentiation	2.450420022589319e-13	4.0049047234368213e-5	1	3	3
GO:0007264	small GTPase-mediated signal transduction	5.505825864510274e-13	2.649234652880295e-5	NA	2	2
GO:0007005	mitochondrion organization	5.710663840241036e-13	NA	3.9e-4	2	2
GO:1903131	mononuclear cell differentiation	5.876210727614026e-13	5.083963792578214e-5	0.31901	3	3
GO:0006139	nucleobase-containing compound metabolic process	6.076948055001711e-13	NA	NA	1	1
GO:0010638	positive regulation of organelle organization	8.288563679962682e-13	4.0936386063608414e-4	NA	2	2
GO:0050821	protein stabilization	9.100912350534113e-13	0.00112430846178275	8e-15	3	3
GO:0051493	regulation of cytoskeleton organization	1.184218358313577e-12	NA	0.16325	2	2
GO:0051338	regulation of transferase activity	1.2864324183097377e-12	NA	1	2	2
GO:0051054	positive regulation of DNA metabolic process	1.2884986686610008e-12	NA	NA	1	1
GO:0032879	regulation of localization	1.3934347350799825e-12	NA	1	2	2
GO:0007033	vacuole organization	1.4512663492584433e-12	NA	0.56237	2	2
GO:0016241	regulation of macroautophagy	1.68390452861807e-12	NA	7.9e-6	2	2
GO:0010243	response to organonitrogen compound	1.7237350276100913e-12	NA	NA	1	1
GO:0051640	organelle localization	1.740307706983726e-12	NA	0.75801	2	2
GO:0009615	response to virus	1.930532986698816e-12	2.6972195625028785e-5	9.1e-5	3	3
GO:0051168	nuclear export	2.1246250900333505e-12	NA	0.01817	2	2
GO:1901698	response to nitrogen compound	2.1597207701385425e-12	NA	1	2	2
GO:2000058	regulation of ubiquitin-dependent protein catabolic process	2.28164590524458e-12	NA	NA	1	1
GO:0031047	regulatory ncRNA-mediated gene silencing	2.7491469310003727e-12	NA	0.02096	2	2
GO:1903706	regulation of hemopoiesis	2.8669398248334602e-12	9.34223699933308e-5	0.13128	3	3
GO:1901700	response to oxygen-containing compound	4.1308156896650975e-12	NA	1	2	2
GO:0030099	myeloid cell differentiation	4.764403333085963e-12	NA	0.0119	2	2
GO:0045862	positive regulation of proteolysis	4.973381982632875e-12	NA	0.20084	2	2
GO:0050852	T cell receptor signaling pathway	6.285633106401472e-12	NA	6.3e-8	2	2
GO:0046483	heterocycle metabolic process	6.785581739218766e-12	NA	NA	1	1
GO:1901990	regulation of mitotic cell cycle phase transition	8.638347968288928e-12	NA	NA	1	1
GO:0000956	nuclear-transcribed mRNA catabolic process	9.317901388301852e-12	NA	NA	1	1
GO:0050778	positive regulation of immune response	9.36815530498183e-12	2.1061167762883024e-6	0.96329	3	3
GO:0035966	response to topologically incorrect protein	9.49979676652356e-12	NA	NA	1	1
GO:0044092	negative regulation of molecular function	9.897755429383487e-12	NA	NA	1	1
GO:0002253	activation of immune response	1.1026126352214575e-11	2.2299950136851694e-5	1	3	3
GO:0034097	response to cytokine	1.1101126916194365e-11	7.617923115897075e-6	0.135	3	3
GO:1901875	positive regulation of post-translational protein modification	1.114025746457336e-11	NA	NA	1	1
GO:0023056	positive regulation of signaling	1.1532907462187496e-11	NA	1	2	2
GO:0051130	positive regulation of cellular component organization	1.1898047688839858e-11	NA	NA	1	1
GO:0030522	intracellular receptor signaling pathway	1.886892296206472e-11	NA	0.02753	2	2
GO:1903322	positive regulation of protein modification by small protein conjugation or removal	2.1435151781249187e-11	NA	NA	1	1
GO:0050851	antigen receptor-mediated signaling pathway	2.840059847908282e-11	NA	NA	1	1
GO:0043086	negative regulation of catalytic activity	3.0164925194578764e-11	NA	NA	1	1
GO:0031330	negative regulation of cellular catabolic process	3.947747781802501e-11	NA	NA	1	1
GO:0043069	negative regulation of programmed cell death	4.062382303752507e-11	NA	NA	1	1
GO:0002376	immune system process	4.0985442328813616e-11	NA	0.39986	2	2
GO:0045732	positive regulation of protein catabolic process	4.642661419389275e-11	NA	NA	1	1
GO:0006986	response to unfolded protein	4.736190314275171e-11	NA	1.7e-4	2	2
GO:0061136	regulation of proteasomal protein catabolic process	4.997721900732041e-11	NA	NA	1	1
GO:0016441	post-transcriptional gene silencing	5.087794776687692e-11	NA	1	2	2
GO:1901361	organic cyclic compound catabolic process	5.21679563728877e-11	NA	NA	1	1
GO:0097193	intrinsic apoptotic signaling pathway	5.2885166401987146e-11	3.179662766331489e-4	0.10502	3	3
GO:0010628	positive regulation of gene expression	5.665482738394111e-11	NA	0.68377	2	2
GO:0009967	positive regulation of signal transduction	6.263845686134921e-11	NA	NA	1	1
GO:0007249	canonical NF-kappaB signal transduction	6.29567532526646e-11	3.1450359299272425e-4	0.00109	3	3
GO:0051301	cell division	6.543199016518426e-11	NA	2.3e-8	2	2
GO:0019058	viral life cycle	7.042620533700718e-11	NA	0.6136	2	2
GO:0035194	regulatory ncRNA-mediated post-transcriptional gene silencing	7.05341408808863e-11	NA	NA	1	1
GO:0071495	cellular response to endogenous stimulus	7.813529089819173e-11	NA	1	2	2
GO:0061013	regulation of mRNA catabolic process	8.787900744845897e-11	NA	1	2	2
GO:0010647	positive regulation of cell communication	1.4898476520254592e-10	NA	NA	1	1
GO:0006354	DNA-templated transcription elongation	1.6973254311025544e-10	NA	1	2	2
GO:0044419	biological process involved in interspecies interaction between organisms	1.9363333634236348e-10	NA	NA	1	1
GO:0043066	negative regulation of apoptotic process	1.999093311957456e-10	NA	3.1e-5	2	2
GO:0043254	regulation of protein-containing complex assembly	2.0664514284004423e-10	NA	NA	1	1
GO:0035195	miRNA-mediated post-transcriptional gene silencing	2.1427747107984837e-10	NA	NA	1	1
GO:0048872	homeostasis of number of cells	2.4598964239883587e-10	NA	0.00383	2	2
GO:0043122	regulation of canonical NF-kappaB signal transduction	2.5871533179342987e-10	NA	NA	1	1
GO:0051236	establishment of RNA localization	2.667788410630679e-10	NA	1	2	2
GO:0006364	rRNA processing	2.9989883612535725e-10	NA	2.7e-6	2	2
GO:0009719	response to endogenous stimulus	3.4197123775731975e-10	NA	1	2	2
GO:0006984	ER-nucleus signaling pathway	3.7693466746177357e-10	NA	0.38026	2	2
GO:0000422	autophagy of mitochondrion	4.5477297251610053e-10	NA	7.2e-4	2	2
GO:0050658	RNA transport	4.746298518297842e-10	NA	0.41277	2	2
GO:0050657	nucleic acid transport	4.746298518297842e-10	NA	1	2	2
GO:0000723	telomere maintenance	4.81179554473167e-10	NA	0.18381	2	2
GO:0034250	positive regulation of amide metabolic process	4.943379051538214e-10	NA	NA	1	1
GO:0006725	cellular aromatic compound metabolic process	6.259510357756761e-10	NA	NA	1	1
GO:0034728	nucleosome organization	6.298011871672934e-10	4.438338931778874e-4	0.00298	3	3
GO:0019080	viral gene expression	6.926396919301086e-10	7.185483882957344e-4	1	3	3
GO:0043085	positive regulation of catalytic activity	6.962215882034657e-10	0.00107023826063841	NA	2	2
GO:0044843	cell cycle G1/S phase transition	9.265411100555051e-10	0.00101495033275875	0.14348	3	3
GO:0006468	protein phosphorylation	9.461692778545104e-10	NA	0.00497	2	2
GO:1903829	positive regulation of protein localization	1.1958928598880395e-9	NA	NA	1	1
GO:0032984	protein-containing complex disassembly	1.1972916799826302e-9	NA	0.85101	2	2
GO:0032434	regulation of proteasomal ubiquitin-dependent protein catabolic process	1.2222295917337034e-9	NA	NA	1	1
GO:0033044	regulation of chromosome organization	1.2576293346673363e-9	NA	0.14339	2	2
GO:0016482	cytosolic transport	1.2683968742132294e-9	NA	0.14398	2	2
GO:1901360	organic cyclic compound metabolic process	1.3526669241716666e-9	NA	NA	1	1
GO:0035967	cellular response to topologically incorrect protein	1.3740484970122771e-9	NA	NA	1	1
GO:0051656	establishment of organelle localization	1.401832135800734e-9	NA	0.61283	2	2
GO:0043488	regulation of mRNA stability	1.531659275918001e-9	NA	5e-4	2	2
GO:0051170	import into nucleus	1.5609860400178536e-9	3.3946247968095245e-5	0.28226	3	3
GO:0051239	regulation of multicellular organismal process	1.6044563863838655e-9	NA	NA	1	1
GO:0071345	cellular response to cytokine stimulus	1.8655242957830334e-9	1.1962977265722156e-5	0.67866	3	3
GO:0042770	signal transduction in response to DNA damage	2.108533895536922e-9	NA	NA	1	1
GO:0006888	endoplasmic reticulum to Golgi vesicle-mediated transport	2.178349864620459e-9	NA	NA	1	1
GO:0030036	actin cytoskeleton organization	2.328208647317871e-9	NA	0.00167	2	2
GO:0043487	regulation of RNA stability	2.384488853380178e-9	NA	1	2	2
