GO.ID	Term	Annotated	Significant	Expected	Rank in weightFisher	classicFisher	weightFisher	p.adj
GO:0006896	Golgi to vacuole transport	21	17	8.02	112	7.9e-05	0.00017	0.0228
GO:0016926	protein desumoylation	9	9	3.44	113	0.00017	0.00017	0.0228
GO:0035520	monoubiquitinated protein deubiquitinati...	9	9	3.44	114	0.00017	0.00017	0.0228
GO:0180010	co-transcriptional mRNA 3'-end processin...	9	9	3.44	115	0.00017	0.00017	0.0228
GO:0042752	regulation of circadian rhythm	113	67	43.18	116	4.3e-06	0.00018	0.0238
GO:0006397	mRNA processing	1728	421	660.29	117	1.00000	0.00018	0.0238
GO:1900153	positive regulation of nuclear-transcrib...	12	11	4.59	118	0.00020	0.00019	0.0247
GO:0045059	positive thymic T cell selection	15	12	5.73	119	0.00120	0.00019	0.0247
GO:0030511	positive regulation of transforming grow...	31	22	11.85	120	0.00022	0.00021	0.027
GO:0085020	protein K6-linked ubiquitination	17	14	6.5	121	0.00026	0.00025	0.0316
GO:0032465	regulation of cytokinesis	94	48	35.92	122	0.00746	0.00025	0.0316
GO:0038095	Fc-epsilon receptor signaling pathway	25	19	9.55	123	0.00014	0.00027	0.0336
GO:0007095	mitotic G2 DNA damage checkpoint signali...	37	25	14.14	124	0.00028	0.00027	0.0336
GO:0046627	negative regulation of insulin receptor ...	39	26	14.9	125	0.00029	0.00029	0.0358
GO:0060261	positive regulation of transcription ini...	63	39	24.07	126	0.00012	0.00030	0.0365
GO:1905168	positive regulation of double-strand bre...	43	28	16.43	127	0.00032	0.00030	0.0365
GO:1902895	positive regulation of miRNA transcripti...	57	35	21.78	128	0.00032	0.00031	0.0371
GO:0034644	cellular response to UV	90	54	34.39	129	2.2e-05	0.00031	0.0371
GO:0050860	negative regulation of T cell receptor s...	26	19	9.93	130	0.00033	0.00032	0.038
GO:0007041	lysosomal transport	135	83	51.59	131	3.4e-08	0.00033	0.0389
GO:0061709	reticulophagy	22	18	8.41	132	3.6e-05	0.00035	0.0406
GO:0032206	positive regulation of telomere maintena...	75	55	28.66	133	6.6e-10	0.00035	0.0406
GO:0048009	insulin-like growth factor receptor sign...	51	29	19.49	134	0.00521	0.00036	0.0412
GO:0031663	lipopolysaccharide-mediated signaling pa...	56	28	21.4	135	0.04786	0.00036	0.0412
GO:0007005	mitochondrion organization	436	227	166.6	136	2.0e-09	0.00039	0.0442
GO:0032922	circadian regulation of gene expression	70	41	26.75	137	0.00043	0.00041	0.0462
GO:0032786	positive regulation of DNA-templated tra...	58	41	22.16	138	5.2e-07	0.00044	0.0488
GO:0070301	cellular response to hydrogen peroxide	66	39	25.22	139	0.00046	0.00044	0.0488
GO:0046629	gamma-delta T cell activation	24	16	9.17	140	0.00442	0.00045	0.049
GO:0043536	positive regulation of blood vessel endo...	56	35	21.4	141	0.00020	0.00046	0.049
GO:0036010	protein localization to endosome	31	25	11.85	142	1.7e-06	0.00046	0.049
GO:0090084	negative regulation of inclusion body as...	12	11	4.59	143	0.00020	0.00047	0.049
GO:0031054	pre-miRNA processing	16	12	6.11	144	0.00312	0.00047	0.049
GO:0006983	ER overload response	11	10	4.2	145	0.00047	0.00047	0.049
GO:0030953	astral microtubule organization	11	10	4.2	146	0.00047	0.00047	0.049
GO:0075522	IRES-dependent viral translational initi...	11	10	4.2	147	0.00047	0.00047	0.049
GO:0090309	positive regulation of DNA methylation-d...	11	10	4.2	148	0.00047	0.00047	0.049
GO:0043488	regulation of mRNA stability	181	115	69.16	149	4.0e-12	0.00050	0.0514
GO:0018107	peptidyl-threonine phosphorylation	77	44	29.42	150	0.00057	0.00050	0.0514
GO:0042110	T cell activation	583	324	222.77	151	5.2e-18	0.00051	0.0521
GO:0048538	thymus development	50	31	19.11	152	0.00055	0.00053	0.0537
GO:0048015	phosphatidylinositol-mediated signaling	23	17	8.79	153	0.00055	0.00054	0.0537
GO:1901673	regulation of mitotic spindle assembly	23	17	8.79	154	0.00055	0.00054	0.0537
GO:2000377	regulation of reactive oxygen species me...	143	74	54.64	155	0.00066	0.00054	0.0537
GO:0030512	negative regulation of transforming grow...	96	53	36.68	156	0.00052	0.00055	0.0544
GO:2000060	positive regulation of ubiquitin-depende...	106	71	40.5	157	1.7e-09	0.00059	0.0579
GO:0046777	protein autophosphorylation	179	97	68.4	158	9.6e-06	0.00060	0.0582
GO:0032481	positive regulation of type I interferon...	75	50	28.66	159	5.4e-07	0.00060	0.0582
GO:0051881	regulation of mitochondrial membrane pot...	71	39	27.13	160	0.00306	0.00068	0.0655
GO:0060828	regulation of canonical Wnt signaling pa...	255	122	97.44	161	0.00101	0.00071	0.068
GO:0000422	autophagy of mitochondrion	105	71	40.12	162	9.2e-10	0.00072	0.0685
GO:0043923	positive regulation by host of viral tra...	18	14	6.88	163	0.00074	0.00073	0.069
GO:0006915	apoptotic process	1911	947	730.22	164	1.8e-26	0.00074	0.0695
GO:0045070	positive regulation of viral genome repl...	31	21	11.85	165	0.00082	0.00075	0.07
GO:0070059	intrinsic apoptotic signaling pathway in...	65	45	24.84	166	3.8e-07	0.00078	0.0724
GO:0034599	cellular response to oxidative stress	245	135	93.62	167	5.2e-08	0.00080	0.0734
GO:0006465	signal peptide processing	13	11	4.97	168	0.00083	0.00082	0.0734
GO:0034333	adherens junction assembly	13	11	4.97	169	0.00083	0.00082	0.0734
GO:0060213	positive regulation of nuclear-transcrib...	13	11	4.97	170	0.00083	0.00082	0.0734
GO:1903265	positive regulation of tumor necrosis fa...	13	11	4.97	171	0.00083	0.00082	0.0734
GO:0031397	negative regulation of protein ubiquitin...	77	51	29.42	172	5.7e-07	0.00082	0.0734
GO:0045582	positive regulation of T cell differenti...	121	76	46.24	173	3.5e-08	0.00083	0.0739
GO:0006413	translational initiation	126	93	48.15	174	4.2e-16	0.00085	0.0753
GO:0008630	intrinsic apoptotic signaling pathway in...	104	65	39.74	175	4.3e-07	0.00086	0.0757
GO:0046854	phosphatidylinositol phosphate biosynthe...	64	44	24.46	176	7.0e-07	0.00088	0.0766
GO:0045071	negative regulation of viral genome repl...	55	35	21.02	177	0.00012	0.00089	0.0766
GO:0007265	Ras protein signal transduction	123	67	47	178	0.00018	0.00089	0.0766
GO:0045815	transcription initiation-coupled chromat...	53	31	20.25	179	0.00216	0.00090	0.0766
GO:0045663	positive regulation of myoblast differen...	45	28	17.2	180	0.00093	0.00090	0.0766
GO:0009791	post-embryonic development	91	52	34.77	181	0.00019	0.00090	0.0766
GO:0006417	regulation of translation	377	238	144.06	182	4.7e-23	0.00097	0.0821
GO:0071333	cellular response to glucose stimulus	144	72	55.02	183	0.00254	0.00103	0.0867
GO:0007020	microtubule nucleation	46	33	17.58	184	4.0e-06	0.00104	0.0869
GO:0036092	phosphatidylinositol-3-phosphate biosynt...	22	16	8.41	185	0.00108	0.00105	0.0869
GO:0048025	negative regulation of mRNA splicing, vi...	22	16	8.41	186	0.00108	0.00105	0.0869
GO:0007249	canonical NF-kappaB signal transduction	307	179	117.31	187	5.6e-13	0.00109	0.0898
GO:0070922	RISC complex assembly	10	9	3.82	188	0.00114	0.00112	0.0904
GO:1901838	positive regulation of transcription of ...	10	9	3.82	189	0.00114	0.00112	0.0904
GO:2000563	positive regulation of CD4-positive, alp...	10	9	3.82	190	0.00114	0.00112	0.0904
GO:0030330	DNA damage response, signal transduction...	77	48	29.42	191	1.5e-05	0.00116	0.0904
GO:0036289	peptidyl-serine autophosphorylation	8	8	3.06	192	0.00045	0.00117	0.0904
GO:0033962	P-body assembly	23	17	8.79	193	0.00055	0.00117	0.0904
GO:0035617	stress granule disassembly	7	7	2.67	194	0.00119	0.00117	0.0904
GO:0045719	negative regulation of glycogen biosynth...	7	7	2.67	195	0.00119	0.00117	0.0904
GO:0070262	peptidyl-serine dephosphorylation	7	7	2.67	196	0.00119	0.00117	0.0904
GO:0150093	amyloid-beta clearance by transcytosis	7	7	2.67	197	0.00119	0.00117	0.0904
GO:1903898	negative regulation of PERK-mediated unf...	7	7	2.67	198	0.00119	0.00117	0.0904
GO:0044027	negative regulation of gene expression v...	15	12	5.73	199	0.00120	0.00118	0.0904
GO:0031048	regulatory ncRNA-mediated heterochromati...	22	9	8.41	200	0.47670	0.00118	0.0904
GO:0043153	entrainment of circadian clock by photop...	24	17	9.17	201	0.00121	0.00118	0.0904
GO:0006368	transcription elongation by RNA polymera...	118	78	45.09	202	7.3e-10	0.00123	0.0937
GO:0030833	regulation of actin filament polymerizat...	133	77	50.82	203	3.1e-06	0.00125	0.0948
GO:0006611	protein export from nucleus	62	39	23.69	204	7.0e-05	0.00127	0.0958
GO:0032480	negative regulation of type I interferon...	45	28	17.2	205	0.00093	0.00137	0.1026
GO:0010592	positive regulation of lamellipodium ass...	28	19	10.7	206	0.00141	0.00138	0.1026
GO:2000819	regulation of nucleotide-excision repair	28	19	10.7	207	0.00141	0.00138	0.1026
GO:0000423	mitophagy	71	48	27.13	208	4.8e-07	0.00141	0.1043
GO:0045787	positive regulation of cell cycle	343	164	131.06	209	0.00016	0.00142	0.1046
GO:0090398	cellular senescence	100	59	38.21	210	1.9e-05	0.00143	0.1048
GO:0006006	glucose metabolic process	184	104	70.31	211	3.3e-07	0.00144	0.1048
GO:0061077	chaperone-mediated protein folding	74	52	28.28	212	2.2e-08	0.00145	0.1048
GO:0051865	protein autoubiquitination	75	44	28.66	213	0.00026	0.00145	0.1048
GO:0045860	positive regulation of protein kinase ac...	233	108	89.03	214	0.00652	0.00146	0.105
GO:0036258	multivesicular body assembly	32	21	12.23	215	0.00153	0.00149	0.1062
GO:0000289	nuclear-transcribed mRNA poly(A) tail sh...	32	26	12.23	216	7.8e-07	0.00149	0.1062
GO:1902774	late endosome to lysosome transport	22	17	8.41	217	0.00022	0.00150	0.1063
GO:0006513	protein monoubiquitination	48	30	18.34	218	0.00055	0.00152	0.1063
GO:0032728	positive regulation of interferon-beta p...	42	26	16.05	219	0.00157	0.00152	0.1063
GO:0042307	positive regulation of protein import in...	42	26	16.05	220	0.00157	0.00152	0.1063
GO:0030036	actin cytoskeleton organization	725	352	277.03	221	5.0e-09	0.00167	0.1163
GO:0006607	NLS-bearing protein import into nucleus	19	14	7.26	222	0.00183	0.00180	0.122
GO:0061158	3'-UTR-mediated mRNA destabilization	19	14	7.26	223	0.00183	0.00180	0.122
GO:0043547	positive regulation of GTPase activity	134	73	51.2	224	9.2e-05	0.00181	0.122
GO:0045830	positive regulation of isotype switching	30	21	11.46	225	0.00041	0.00183	0.122
GO:0098761	cellular response to interleukin-7	20	16	7.64	226	0.00017	0.00183	0.122
GO:0060333	type II interferon-mediated signaling pa...	27	18	10.32	227	0.00255	0.00183	0.122
GO:0031529	ruffle organization	56	29	21.4	228	0.02652	0.00183	0.122
GO:0002726	positive regulation of T cell cytokine p...	28	18	10.7	229	0.00461	0.00183	0.122
GO:0032495	response to muramyl dipeptide	21	15	8.02	230	0.00208	0.00183	0.122
GO:0044314	protein K27-linked ubiquitination	12	10	4.59	231	0.00186	0.00184	0.122
GO:1990253	cellular response to leucine starvation	12	10	4.59	232	0.00186	0.00184	0.122
GO:0030308	negative regulation of cell growth	173	85	66.11	233	0.00214	0.00194	0.1281
GO:0042098	T cell proliferation	216	108	82.54	234	0.00026	0.00198	0.1302
GO:0070534	protein K63-linked ubiquitination	68	40	25.98	235	0.00045	0.00199	0.1303
GO:0010803	regulation of tumor necrosis factor-medi...	63	37	24.07	236	0.00075	0.00202	0.1307
GO:0018279	protein N-linked glycosylation via aspar...	43	28	16.43	237	0.00032	0.00202	0.1307
GO:0048208	COPII vesicle coating	26	19	9.93	238	0.00033	0.00203	0.1307
GO:0006337	nucleosome disassembly	21	15	8.02	239	0.00208	0.00204	0.1307
GO:1902455	negative regulation of stem cell populat...	25	16	9.55	240	0.00796	0.00204	0.1307
GO:0090316	positive regulation of intracellular pro...	97	61	37.06	241	7.2e-07	0.00217	0.1385
GO:1990830	cellular response to leukemia inhibitory...	103	54	39.36	242	0.00228	0.00218	0.1386
GO:0045814	negative regulation of gene expression, ...	185	124	70.69	243	1.5e-15	0.00221	0.1394
GO:0016236	macroautophagy	361	234	137.94	244	5.5e-25	0.00222	0.1394
GO:0042267	natural killer cell mediated cytotoxicit...	78	41	29.8	245	0.00686	0.00222	0.1394
GO:0060339	negative regulation of type I interferon...	23	16	8.79	246	0.00228	0.00223	0.1394
GO:0045943	positive regulation of transcription by ...	35	26	13.37	247	1.6e-05	0.00236	0.1469
GO:0050684	regulation of mRNA processing	134	88	51.2	248	1.0e-10	0.00240	0.1488
GO:0034315	regulation of Arp2/3 complex-mediated ac...	29	21	11.08	249	0.00019	0.00249	0.1502
GO:0072583	clathrin-dependent endocytosis	48	28	18.34	250	0.00367	0.00249	0.1502
GO:0016239	positive regulation of macroautophagy	88	59	33.63	251	3.9e-08	0.00249	0.1502
GO:0071480	cellular response to gamma radiation	27	18	10.32	252	0.00255	0.00249	0.1502
GO:0000463	maturation of LSU-rRNA from tricistronic...	16	13	6.11	253	0.00056	0.00249	0.1502
GO:0048268	clathrin coat assembly	19	14	7.26	254	0.00183	0.00250	0.1502
GO:0006897	endocytosis	711	342	271.68	255	2.9e-08	0.00250	0.1502
GO:0045040	protein insertion into mitochondrial out...	14	11	5.35	256	0.00254	0.00250	0.1502
GO:0045931	positive regulation of mitotic cell cycl...	124	66	47.38	257	0.00047	0.00252	0.1508
GO:0000184	nuclear-transcribed mRNA catabolic proce...	46	32	17.58	258	1.6e-05	0.00254	0.1514
GO:0070979	protein K11-linked ubiquitination	39	24	14.9	259	0.00264	0.00257	0.1526
GO:0007080	mitotic metaphase chromosome alignment	62	33	23.69	260	0.01141	0.00260	0.1537
GO:0002230	positive regulation of defense response ...	35	22	13.37	261	0.00270	0.00263	0.1537
GO:1901798	positive regulation of signal transducti...	31	21	11.85	262	0.00082	0.00265	0.1537
GO:1900152	negative regulation of nuclear-transcrib...	12	11	4.59	263	0.00020	0.00266	0.1537
GO:0010501	RNA secondary structure unwinding	9	8	3.44	264	0.00270	0.00266	0.1537
GO:1990481	mRNA pseudouridine synthesis	9	8	3.44	265	0.00270	0.00266	0.1537
GO:0019941	modification-dependent protein catabolic...	627	417	239.58	266	< 1e-30	0.00266	0.1537
GO:0043525	positive regulation of neuron apoptotic ...	64	37	24.46	267	0.00113	0.00283	0.163
GO:0042981	regulation of apoptotic process	1453	715	555.21	268	5.5e-19	0.00290	0.165
GO:0035264	multicellular organism growth	160	82	61.14	269	0.00052	0.00292	0.165
GO:0042327	positive regulation of phosphorylation	500	225	191.06	270	0.00099	0.00295	0.165
GO:0034728	nucleosome organization	131	93	50.06	271	2.4e-14	0.00298	0.165
GO:0034314	Arp2/3 complex-mediated actin nucleation	45	33	17.2	272	1.8e-06	0.00303	0.165
GO:1903214	regulation of protein targeting to mitoc...	43	33	16.43	273	3.0e-07	0.00305	0.165
GO:0006515	protein quality control for misfolded or...	26	21	9.93	274	1.1e-05	0.00305	0.165
GO:0099022	vesicle tethering	32	23	12.23	275	0.00012	0.00305	0.165
GO:0019885	antigen processing and presentation of e...	22	18	8.41	276	3.6e-05	0.00306	0.165
GO:0010288	response to lead ion	21	13	8.02	277	0.02369	0.00307	0.165
GO:0034087	establishment of mitotic sister chromati...	7	7	2.67	278	0.00119	0.00308	0.165
GO:0033081	regulation of T cell differentiation in ...	28	15	10.7	279	0.07117	0.00308	0.165
GO:0030578	PML body organization	6	6	2.29	280	0.00311	0.00308	0.165
GO:0031591	wybutosine biosynthetic process	6	6	2.29	281	0.00311	0.00308	0.165
GO:0044387	negative regulation of protein kinase ac...	6	6	2.29	282	0.00311	0.00308	0.165
GO:0045046	protein import into peroxisome membrane	6	6	2.29	283	0.00311	0.00308	0.165
GO:0048205	COPI coating of Golgi vesicle	6	6	2.29	284	0.00311	0.00308	0.165
GO:0098780	response to mitochondrial depolarisation	6	6	2.29	285	0.00311	0.00308	0.165
GO:0120183	positive regulation of focal adhesion di...	6	6	2.29	286	0.00311	0.00308	0.165
GO:0030497	fatty acid elongation	14	9	5.35	287	0.04349	0.00308	0.165
GO:0034329	cell junction assembly	503	181	192.2	288	0.86180	0.00311	0.166
GO:0006614	SRP-dependent cotranslational protein ta...	140	30	53.5	289	0.99999	0.00314	0.167
GO:0006909	phagocytosis	240	112	91.71	290	0.00439	0.00319	0.1691
GO:0061024	membrane organization	817	433	312.19	291	1.5e-18	0.00327	0.1721
GO:0032091	negative regulation of protein binding	63	34	24.07	292	0.00787	0.00327	0.1721
GO:0006914	autophagy	591	356	225.83	293	3.6e-28	0.00342	0.1794
GO:0051642	centrosome localization	33	22	12.61	294	0.00086	0.00351	0.1821
GO:0031122	cytoplasmic microtubule organization	66	41	25.22	295	7.0e-05	0.00352	0.1821
GO:0034727	piecemeal microautophagy of the nucleus	18	13	6.88	296	0.00359	0.00353	0.1821
GO:1904294	positive regulation of ERAD pathway	18	13	6.88	297	0.00359	0.00353	0.1821
GO:0000027	ribosomal large subunit assembly	24	15	9.17	298	0.01368	0.00353	0.1821
GO:0120163	negative regulation of cold-induced ther...	48	28	18.34	299	0.00367	0.00356	0.183
GO:0006457	protein folding	217	130	82.92	300	6.6e-11	0.00359	0.1839
GO:0043087	regulation of GTPase activity	200	114	76.42	301	4.9e-08	0.00362	0.1848
GO:0048872	homeostasis of number of cells	332	187	126.86	302	1.2e-11	0.00383	0.1941
